cluster,lat_mean,event_count,lon_mean,total_fatalities
0,33.23023162959795,14028,35.41593201454234,2656
2,33.98991164921466,764,36.121210732984295,782
1,33.844412500000004,272,35.518511764705885,301
3,34.42235949367088,79,36.40239873417721,71
11,34.102525,16,35.884693750000004,0
13,34.0490375,8,35.68785,31
14,34.11607142857143,7,35.68031428571429,8
18,33.6743,6,35.965,0
12,34.3442,5,36.4744,1
17,34.11608,5,35.77942,25
22,33.76702,5,35.87882,1
7,33.584649999999996,4,35.8995,20
16,33.978750000000005,4,35.61945,2
10,34.1293,4,36.0282,4
21,33.43233333333333,3,35.752633333333335,0
9,34.305299999999995,3,35.95016666666667,23
4,34.6194,3,36.3736,0
26,33.6927,3,35.83916666666667,4
5,33.7083,3,35.9025,2
20,34.2589,3,36.4192,0
8,34.5428,2,36.0797,0
6,34.617999999999995,2,35.99215,0
19,34.434,2,36.0816,0
15,34.5196,2,36.2162,28
23,33.7243,2,35.68429999999999,0
24,33.5719,2,35.8169,2
25,33.6371,2,35.6202,12
27,33.5009,2,35.8437,0
